stage,U,achieved_stage_loading,flow_coefficient,T03,P03,M2,Mw3,an2
1,338.60211481568405,1.8,0.5,1520.233008812202,469496.2605993724,0.6747078564995841,0.6366366605174691,47103563.10305501
2,338.60211481568405,1.8,0.5,1340.4660176244147,259953.76265943464,0.7127295854600272,0.6823365475327953,74483706.6481848
