section_index,span_fraction,radius,surface,point_index,x,y,z
0,0.0,0.2592683360499376,upper,0,0.2047625967540972,-0.16581348144701571,0.2592683360499376
0,0.0,0.2592683360499376,upper,1,0.20513498500077873,-0.16545144623416252,0.2592683360499376
0,0.0,0.2592683360499376,upper,2,0.20531433342400354,-0.16478371223358235,0.2592683360499376
0,0.0,0.2592683360499376,upper,3,0.20531106372340888,-0.1638282837018147,0.2592683360499376
0,0.0,0.2592683360499376,upper,4,0.20513559759863148,-0.16260316489539886,0.2592683360499376
0,0.0,0.2592683360499376,upper,5,0.20479835674930863,-0.16112636007087439,0.2592683360499376
0,0.0,0.2592683360499376,upper,6,0.20430976287507713,-0.1594158734847805,0.2592683360499376
0,0.0,0.2592683360499376,upper,7,0.20368023767557403,-0.15748970939365667,0.2592683360499376
0,0.0,0.2592683360499376,upper,8,0.20292020285043624,-0.15536587205404231,0.2592683360499376
0,0.0,0.2592683360499376,upper,9,0.202040080099301,-0.15306236572247686,0.2592683360499376
0,0.0,0.2592683360499376,upper,10,0.2010502911218051,-0.15059719465549962,0.2592683360499376
0,0.0,0.2592683360499376,upper,11,0.1999612576175856,-0.14798836310965005,0.2592683360499376
0,0.0,0.2592683360499376,upper,12,0.19878340128627958,-0.14525387534146755,0.2592683360499376
0,0.0,0.2592683360499376,upper,13,0.19752714382752393,-0.14241173560749149,0.2592683360499376
0,0.0,0.2592683360499376,upper,14,0.1962029069409557,-0.1394799481642613,0.2592683360499376
0,0.0,0.2592683360499376,upper,15,0.19482111232621194,-0.13647651726831636,0.2592683360499376
0,0.0,0.2592683360499376,upper,16,0.1933921816829295,-0.133419447176196,0.2592683360499376
0,0.0,0.2592683360499376,upper,17,0.19192653671074558,-0.1303267421444398,0.2592683360499376
0,0.0,0.2592683360499376,upper,18,0.190434599109297,-0.12721640642958693,0.2592683360499376
0,0.0,0.2592683360499376,upper,19,0.1889267905782209,-0.12410644428817699,0.2592683360499376
0,0.0,0.2592683360499376,upper,20,0.1874135328171542,-0.12101485997674925,0.2592683360499376
0,0.0,0.2592683360499376,upper,21,0.18590524752573392,-0.11795965775184315,0.2592683360499376
0,0.0,0.2592683360499376,upper,22,0.1844123564035971,-0.1149588418699981,0.2592683360499376
0,0.0,0.2592683360499376,upper,23,0.18294391843728597,-0.11202800296648364,0.2592683360499376
0,0.0,0.2592683360499376,upper,24,0.1815013672754201,-0.10916922576848702,0.2592683360499376
0,0.0,0.2592683360499376,upper,25,0.18008348566380183,-0.10637989975556895,0.2592683360499376
0,0.0,0.2592683360499376,upper,26,0.17868905368668472,-0.10365740969318621,0.2592683360499376
0,0.0,0.2592683360499376,upper,27,0.17731685142832215,-0.1009991403467955,0.2592683360499376
0,0.0,0.2592683360499376,upper,28,0.17596565897296754,-0.09840247648185341,0.2592683360499376
0,0.0,0.2592683360499376,upper,29,0.1746342564048743,-0.0958648028638168,0.2592683360499376
0,0.0,0.2592683360499376,upper,30,0.17332142380829585,-0.09338350425814224,0.2592683360499376
0,0.0,0.2592683360499376,upper,31,0.1720259412674857,-0.09095596543028653,0.2592683360499376
0,0.0,0.2592683360499376,upper,32,0.17074658886669714,-0.08857957114570633,0.2592683360499376
0,0.0,0.2592683360499376,upper,33,0.16948214669018366,-0.08625170616985835,0.2592683360499376
0,0.0,0.2592683360499376,upper,34,0.1682313948221987,-0.08396975526819929,0.2592683360499376
0,0.0,0.2592683360499376,upper,35,0.16699311334699568,-0.08173110320618585,0.2592683360499376
0,0.0,0.2592683360499376,upper,36,0.165766082348828,-0.07953313474927474,0.2592683360499376
0,0.0,0.2592683360499376,upper,37,0.16454908191194917,-0.0773732346629227,0.2592683360499376
0,0.0,0.2592683360499376,upper,38,0.16334089212061245,-0.07524878771258635,0.2592683360499376
0,0.0,0.2592683360499376,upper,39,0.16214029305907146,-0.07315717866372248,0.2592683360499376
0,0.0,0.2592683360499376,upper,40,0.16094606481157944,-0.07109579228178776,0.2592683360499376
0,0.0,0.2592683360499376,upper,41,0.15975698746238995,-0.06906201333223888,0.2592683360499376
0,0.0,0.2592683360499376,upper,42,0.1585718410957564,-0.06705322658053257,0.2592683360499376
0,0.0,0.2592683360499376,upper,43,0.15738940579593214,-0.06506681679212549,0.2592683360499376
0,0.0,0.2592683360499376,upper,44,0.15620846164717062,-0.06310016873247438,0.2592683360499376
0,0.0,0.2592683360499376,upper,45,0.15502788707097037,-0.06115086619711682,0.2592683360499376
0,0.0,0.2592683360499376,upper,46,0.15384734145283982,-0.05921807361698452,0.2592683360499376
0,0.0,0.2592683360499376,upper,47,0.15266685659834972,-0.05730170918416097,0.2592683360499376
0,0.0,0.2592683360499376,upper,48,0.15148646660665072,-0.055401695732830596,0.2592683360499376
0,0.0,0.2592683360499376,upper,49,0.15030620557689348,-0.053517956097177855,0.2592683360499376
0,0.0,0.2592683360499376,upper,50,0.14912610760822878,-0.05165041311138719,0.2592683360499376
0,0.0,0.2592683360499376,upper,51,0.1479462067998072,-0.04979898960964306,0.2592683360499376
0,0.0,0.2592683360499376,upper,52,0.1467665372507795,-0.047963608426129886,0.2592683360499376
0,0.0,0.2592683360499376,upper,53,0.14558713306029644,-0.046144192395032174,0.2592683360499376
0,0.0,0.2592683360499376,upper,54,0.14440802832750854,-0.044340664350534305,0.2592683360499376
0,0.0,0.2592683360499376,upper,55,0.14322925715156665,-0.04255294712682077,0.2592683360499376
0,0.0,0.2592683360499376,upper,56,0.14205085363162143,-0.04078096355807601,0.2592683360499376
0,0.0,0.2592683360499376,upper,57,0.14087285186682355,-0.03902463647848447,0.2592683360499376
0,0.0,0.2592683360499376,upper,58,0.13969528595632372,-0.03728388872223061,0.2592683360499376
0,0.0,0.2592683360499376,upper,59,0.1385181899992726,-0.03555864312349886,0.2592683360499376
0,0.0,0.2592683360499376,upper,60,0.13734159809482088,-0.03384882251647366,0.2592683360499376
0,0.0,0.2592683360499376,upper,61,0.13616554434211933,-0.0321543497353395,0.2592683360499376
0,0.0,0.2592683360499376,upper,62,0.13499006284031856,-0.03047514761428079,0.2592683360499376
0,0.0,0.2592683360499376,upper,63,0.13381518768856937,-0.028811138987482016,0.2592683360499376
0,0.0,0.2592683360499376,upper,64,0.13264095298602233,-0.027162246689127586,0.2592683360499376
0,0.0,0.2592683360499376,upper,65,0.1314673928318282,-0.02552839355340196,0.2592683360499376
0,0.0,0.2592683360499376,upper,66,0.13029454132513768,-0.023909502414489615,0.2592683360499376
0,0.0,0.2592683360499376,upper,67,0.12912242828207016,-0.02230549745088428,0.2592683360499376
0,0.0,0.2592683360499376,upper,68,0.1279510337285059,-0.020716318468675554,0.2592683360499376
